date,reproducibility crisis,replicability crisis,replication crisis,Sum: rep... crisis
2004-12-31,0.0,0.0,0.0,0.0
2005-12-31,0.0,0.0,13.25,13.25
2006-12-31,0.0,0.0,0.0,0.0
2007-12-31,0.0,0.0,0.0,0.0
2008-12-31,0.0,0.0,2.25,2.25
2009-12-31,0.0,0.0,5.166666666666667,5.166666666666667
2010-12-31,0.6666666666666666,0.5833333333333334,2.0,3.25
2011-12-31,0.4166666666666667,0.0,3.3333333333333335,3.75
2012-12-31,0.3333333333333333,0.0,4.333333333333333,4.666666666666666
2013-12-31,0.25,1.0,5.166666666666667,6.416666666666667
2014-12-31,1.3333333333333333,1.5833333333333333,7.0,9.916666666666666
2015-12-31,5.25,1.9166666666666667,7.833333333333333,15.0
2016-12-31,9.916666666666666,5.916666666666667,23.166666666666668,39.0
2017-12-31,13.2,7.0,31.3,51.5
